ID,topic,premise,conclusion,validity_101,validity_102,validity_103,validity_111,validity_112,novelty_101,novelty_102,novelty_103,novelty_111,novelty_112
test_1013#T5cherryfsmooth+topic+specific+inf_selected_prediction,Withdrawing from Iraq,"The UN has authorized the continued presence of coalition forces in Iraq. But, if it lets its current authorization expire on January 1, 2009 - as it is scheduled to - than it will have fully lost authorization and international legal legitimacy in Iraq, and should leave.",The U.S. should withdraw from Iraq after its current authorization expires., 1, 1,, 1,, 1, 1,, -1,
test_1013#T5cherrysmooth+topic+gen_selected_prediction,Withdrawing from Iraq,"The UN has authorized the continued presence of coalition forces in Iraq. But, if it lets its current authorization expire on January 1, 2009 - as it is scheduled to - than it will have fully lost authorization and international legal legitimacy in Iraq, and should leave.",Withdrawing from Iraq would undermine UN's legitimacy, -1, -1,, -1,, -1, 1,, -1,
test_1013#T5cherrysmooth+topic+specific+generic_selected_prediction,Withdrawing from Iraq,"The UN has authorized the continued presence of coalition forces in Iraq. But, if it lets its current authorization expire on January 1, 2009 - as it is scheduled to - than it will have fully lost authorization and international legal legitimacy in Iraq, and should leave.",Iraq's continued presence in Iraq undermines its legitimacy, -1, -1,, -1,, -1, 1,, 1,
test_1013#T5cherrysmooth+topic_selected_prediction,Withdrawing from Iraq,"The UN has authorized the continued presence of coalition forces in Iraq. But, if it lets its current authorization expire on January 1, 2009 - as it is scheduled to - than it will have fully lost authorization and international legal legitimacy in Iraq, and should leave.",The UN has not authorized the continued presence of coalition forces in Iraq., -1, -1,, -1,, -1, 1,, 1,
test_1013#T5smooth+topic+gen_best_beam_prediction,Withdrawing from Iraq,"The UN has authorized the continued presence of coalition forces in Iraq. But, if it lets its current authorization expire on January 1, 2009 - as it is scheduled to - than it will have fully lost authorization and international legal legitimacy in Iraq, and should leave.",Withdrawing from Iraq would end the UN's legitimacy, 1, -1,, -1,, 1, 1,, 1,
test_1013#T5smooth+topic+specific+generic_best_beam_prediction,Withdrawing from Iraq,"The UN has authorized the continued presence of coalition forces in Iraq. But, if it lets its current authorization expire on January 1, 2009 - as it is scheduled to - than it will have fully lost authorization and international legal legitimacy in Iraq, and should leave.",UN authorization for continued presence in Iraq is invalid., -1, 1,, -1,, -1, 1,, 1,
test_1013#T5smooth+topic+specific+inf_best_beam_prediction,Withdrawing from Iraq,"The UN has authorized the continued presence of coalition forces in Iraq. But, if it lets its current authorization expire on January 1, 2009 - as it is scheduled to - than it will have fully lost authorization and international legal legitimacy in Iraq, and should leave.",The UN has an obligation to withdraw from Iraq., 1, 1,, -1,, 1, 1,, 1,
test_1013#T5smooth+topic_best_beam_prediction,Withdrawing from Iraq,"The UN has authorized the continued presence of coalition forces in Iraq. But, if it lets its current authorization expire on January 1, 2009 - as it is scheduled to - than it will have fully lost authorization and international legal legitimacy in Iraq, and should leave.",UN authorization for coalition forces is already invalidated, -1, 1,, -1,, -1, 1,, 1,
test_1013#T5_best_beam_prediction,Withdrawing from Iraq,"The UN has authorized the continued presence of coalition forces in Iraq. But, if it lets its current authorization expire on January 1, 2009 - as it is scheduled to - than it will have fully lost authorization and international legal legitimacy in Iraq, and should leave.",Coalition forces should leave after expiring UN authorization, 1, 1,, 1,, 1, -1,, -1,
test_1013#T5_ground_truth,Withdrawing from Iraq,"The UN has authorized the continued presence of coalition forces in Iraq. But, if it lets its current authorization expire on January 1, 2009 - as it is scheduled to - than it will have fully lost authorization and international legal legitimacy in Iraq, and should leave.","The Iraq War will be illegal after UN authorizations expire on January 1, 2009", 1, -1,, -1,, 1, 1,, 1,
test_1013#_random_conclusion,Withdrawing from Iraq,"The UN has authorized the continued presence of coalition forces in Iraq. But, if it lets its current authorization expire on January 1, 2009 - as it is scheduled to - than it will have fully lost authorization and international legal legitimacy in Iraq, and should leave.","Wind turbines are a beautiful symbol of ""green"" consciousness.", -1, -1,, -1,, -1, -1,, -1,
test_1027#T5cherryfsmooth+topic+specific+generic_selected_prediction,Withdrawing from Iraq,"To argue that the success of democracy in the Middle East and in the Muslim world depends on the results of the Iraq War, is to argue that democracy does not have its own inherent appeal. Democracy is, rather, the inherently best form of governance in the world. We must trust, therefore, that the Middle East and Muslims will come to adopt it for this reason, and irrespective of what happens in Iraq.",Democracy is the inherently best form of governance in the world, 1,, 1,, 1, -1,, -1,, -1
test_1027#T5cherrysmooth+topic+specific+generic_selected_prediction,Withdrawing from Iraq,"To argue that the success of democracy in the Middle East and in the Muslim world depends on the results of the Iraq War, is to argue that democracy does not have its own inherent appeal. Democracy is, rather, the inherently best form of governance in the world. We must trust, therefore, that the Middle East and Muslims will come to adopt it for this reason, and irrespective of what happens in Iraq.",Iraq's defeat in the Middle East does not justify democracy, 1,, -1,, 0, 1,, 1,, 1
test_1027#T5cherrysmooth+topic+specific+inf_selected_prediction,Withdrawing from Iraq,"To argue that the success of democracy in the Middle East and in the Muslim world depends on the results of the Iraq War, is to argue that democracy does not have its own inherent appeal. Democracy is, rather, the inherently best form of governance in the world. We must trust, therefore, that the Middle East and Muslims will come to adopt it for this reason, and irrespective of what happens in Iraq.",Democracies will adopt democracy irrespective of what happens in Iraq, -1,, -1,, 1, -1,, -1,, 1
test_1027#T5cherrysmooth+topic_selected_prediction,Withdrawing from Iraq,"To argue that the success of democracy in the Middle East and in the Muslim world depends on the results of the Iraq War, is to argue that democracy does not have its own inherent appeal. Democracy is, rather, the inherently best form of governance in the world. We must trust, therefore, that the Middle East and Muslims will come to adopt it for this reason, and irrespective of what happens in Iraq.",Success of democracy depends on success of Iraq War., -1,, -1,, -1, -1,, 0,, -1
test_1027#T5smooth+topic_best_beam_prediction,Withdrawing from Iraq,"To argue that the success of democracy in the Middle East and in the Muslim world depends on the results of the Iraq War, is to argue that democracy does not have its own inherent appeal. Democracy is, rather, the inherently best form of governance in the world. We must trust, therefore, that the Middle East and Muslims will come to adopt it for this reason, and irrespective of what happens in Iraq.",Democracy is the best form of governance in the world., 1,, 1,, 1, -1,, -1,, -1
test_1035#T5cherryfsmooth+topic+specific+generic_selected_prediction,Withdrawing from Iraq,"Saddam has been removed from office and executed, WMD has not been found, and Iraq is no longer a threat to the region. This was the main thrust of the US mission going into the war. Having accomplished these objectives and having ensured that Iraq in fact does not have WMD, the US can withdrawal on the basis that it has accomplished its limited mission in Iraq.",The US should withdraw from Iraq on basis of lack of WMD., 1,, 1,, 1, 1,, -1,, 1
test_1035#T5cherryfsmooth+topic+specific+inf_selected_prediction,Withdrawing from Iraq,"Saddam has been removed from office and executed, WMD has not been found, and Iraq is no longer a threat to the region. This was the main thrust of the US mission going into the war. Having accomplished these objectives and having ensured that Iraq in fact does not have WMD, the US can withdrawal on the basis that it has accomplished its limited mission in Iraq.",The US has accomplished its limited mission in Iraq., 1,, 1,, 1, -1,, -1,, -1
test_1035#T5cherrysmooth+topic+specific+generic_selected_prediction,Withdrawing from Iraq,"Saddam has been removed from office and executed, WMD has not been found, and Iraq is no longer a threat to the region. This was the main thrust of the US mission going into the war. Having accomplished these objectives and having ensured that Iraq in fact does not have WMD, the US can withdrawal on the basis that it has accomplished its limited mission in Iraq.",The US has withdrawn from Iraq on the basis that WMD have not been found., -1,, 1,, -1, -1,, -1,, 1
test_1035#T5cherrysmooth+topic_selected_prediction,Withdrawing from Iraq,"Saddam has been removed from office and executed, WMD has not been found, and Iraq is no longer a threat to the region. This was the main thrust of the US mission going into the war. Having accomplished these objectives and having ensured that Iraq in fact does not have WMD, the US can withdrawal on the basis that it has accomplished its limited mission in Iraq.","Iraq has been defeated, WMD has not been found, US can withdraw.", 1,, 1,, 1, 1,, -1,, 1
test_1035#T5smooth+topic+specific+generic_best_beam_prediction,Withdrawing from Iraq,"Saddam has been removed from office and executed, WMD has not been found, and Iraq is no longer a threat to the region. This was the main thrust of the US mission going into the war. Having accomplished these objectives and having ensured that Iraq in fact does not have WMD, the US can withdrawal on the basis that it has accomplished its limited mission in Iraq.",The US has accomplished its mission in Iraq, 1,, 1,, 1, -1,, -1,, -1
test_1035#T5smooth+topic+specific+inf_best_beam_prediction,Withdrawing from Iraq,"Saddam has been removed from office and executed, WMD has not been found, and Iraq is no longer a threat to the region. This was the main thrust of the US mission going into the war. Having accomplished these objectives and having ensured that Iraq in fact does not have WMD, the US can withdrawal on the basis that it has accomplished its limited mission in Iraq.",The US has accomplished its main objectives in Iraq; the WMD are gone., -1,, 1,, 1, -1,, -1,, 1
test_1035#T5smooth+topic_best_beam_prediction,Withdrawing from Iraq,"Saddam has been removed from office and executed, WMD has not been found, and Iraq is no longer a threat to the region. This was the main thrust of the US mission going into the war. Having accomplished these objectives and having ensured that Iraq in fact does not have WMD, the US can withdrawal on the basis that it has accomplished its limited mission in Iraq.","Saddam Hussein has been removed from office, WMD is not found in Iraq.", 1,, 1,, 1, -1,, -1,, -1
test_1043#T5+topic+gen_best_beam_prediction,Withdrawing from Iraq,"If chaos ensues in Iraq, the risk is not simply that a civil war, genocide, and perhaps a regional conflict ensue. The added risk is that the main source of the world's oil becomes embroiled in this conflict, and that global oil prices spike significantly, shocking the global economy and causing a global recession.",Withdrawing from Iraq could cause global oil price shock, 1, 1,, 1,, 1, -1,, -1,
test_1043#T5+topic+inf_best_beam_prediction,Withdrawing from Iraq,"If chaos ensues in Iraq, the risk is not simply that a civil war, genocide, and perhaps a regional conflict ensue. The added risk is that the main source of the world's oil becomes embroiled in this conflict, and that global oil prices spike significantly, shocking the global economy and causing a global recession.",Risks of a civil war in Iraq are greater than oil prices, -1, -1,, -1,, 1, -1,, 1,
test_1043#T5+topic+is_best_beam_prediction,Withdrawing from Iraq,"If chaos ensues in Iraq, the risk is not simply that a civil war, genocide, and perhaps a regional conflict ensue. The added risk is that the main source of the world's oil becomes embroiled in this conflict, and that global oil prices spike significantly, shocking the global economy and causing a global recession.",Withdrawing from Iraq would shock global economy, -1, 1,, 1,, 1, -1,, 1,
test_1043#T5+topic+specific+generic+inf_best_beam_prediction,Withdrawing from Iraq,"If chaos ensues in Iraq, the risk is not simply that a civil war, genocide, and perhaps a regional conflict ensue. The added risk is that the main source of the world's oil becomes embroiled in this conflict, and that global oil prices spike significantly, shocking the global economy and causing a global recession.",Withdrawing from Iraq risks damaging global economy, 1, 1,, 1,, 1, -1,, -1,
test_1043#T5+topic+specific+generic_best_beam_prediction,Withdrawing from Iraq,"If chaos ensues in Iraq, the risk is not simply that a civil war, genocide, and perhaps a regional conflict ensue. The added risk is that the main source of the world's oil becomes embroiled in this conflict, and that global oil prices spike significantly, shocking the global economy and causing a global recession.",Withdrawing from Iraq would increase oil prices, 1, 1,, 1,, 1, -1,, -1,
test_1043#T5+topic+specific+inf_best_beam_prediction,Withdrawing from Iraq,"If chaos ensues in Iraq, the risk is not simply that a civil war, genocide, and perhaps a regional conflict ensue. The added risk is that the main source of the world's oil becomes embroiled in this conflict, and that global oil prices spike significantly, shocking the global economy and causing a global recession.",Withdrawing from Iraq would lower global oil prices, -1, -1,, -1,, 1, 1,, 1,
test_1043#T5+topic_best_beam_prediction,Withdrawing from Iraq,"If chaos ensues in Iraq, the risk is not simply that a civil war, genocide, and perhaps a regional conflict ensue. The added risk is that the main source of the world's oil becomes embroiled in this conflict, and that global oil prices spike significantly, shocking the global economy and causing a global recession.",Risk of civil war/conflict in Iraq:, -1, -1,, 1,, -1, 1,, -1,
test_1043#T5cherry+topic+gen_selected_prediction,Withdrawing from Iraq,"If chaos ensues in Iraq, the risk is not simply that a civil war, genocide, and perhaps a regional conflict ensue. The added risk is that the main source of the world's oil becomes embroiled in this conflict, and that global oil prices spike significantly, shocking the global economy and causing a global recession.",Withdrawing from Iraq would cause a global oil crisis, 1, 1,, 1,, 1, -1,, 1,
test_1043#T5cherryfsmooth+topic+gen_selected_prediction,Withdrawing from Iraq,"If chaos ensues in Iraq, the risk is not simply that a civil war, genocide, and perhaps a regional conflict ensue. The added risk is that the main source of the world's oil becomes embroiled in this conflict, and that global oil prices spike significantly, shocking the global economy and causing a global recession.",Withdrawing from Iraq would damage the global economy, 1, 1,, 1,, 1, -1,, 1,
test_1043#T5cherryfsmooth+topic+is_selected_prediction,Withdrawing from Iraq,"If chaos ensues in Iraq, the risk is not simply that a civil war, genocide, and perhaps a regional conflict ensue. The added risk is that the main source of the world's oil becomes embroiled in this conflict, and that global oil prices spike significantly, shocking the global economy and causing a global recession.",Withdrawing from Iraq would cause oil price spikes, 1, 1,, 1,, 1, -1,, -1,
test_1043#T5cherryfsmooth+topic+specific+generic_selected_prediction,Withdrawing from Iraq,"If chaos ensues in Iraq, the risk is not simply that a civil war, genocide, and perhaps a regional conflict ensue. The added risk is that the main source of the world's oil becomes embroiled in this conflict, and that global oil prices spike significantly, shocking the global economy and causing a global recession.",The risk of a civil war in Iraq is negligible., -1, -1,, -1,, -1, 1,, 1,
test_1043#T5cherryfsmooth+topic+specific+inf_selected_prediction,Withdrawing from Iraq,"If chaos ensues in Iraq, the risk is not simply that a civil war, genocide, and perhaps a regional conflict ensue. The added risk is that the main source of the world's oil becomes embroiled in this conflict, and that global oil prices spike significantly, shocking the global economy and causing a global recession.",Iraq is a major risk to the global economy., 1, 1,, -1,, 1, 1,, 1,
test_1043#T5cherrysmooth+topic+specific+inf_selected_prediction,Withdrawing from Iraq,"If chaos ensues in Iraq, the risk is not simply that a civil war, genocide, and perhaps a regional conflict ensue. The added risk is that the main source of the world's oil becomes embroiled in this conflict, and that global oil prices spike significantly, shocking the global economy and causing a global recession.",Iraq's civil war could cause an oil price spike, 1, 1,, 1,, 1, -1,, 1,
test_1043#T5cherrysmooth+topic_selected_prediction,Withdrawing from Iraq,"If chaos ensues in Iraq, the risk is not simply that a civil war, genocide, and perhaps a regional conflict ensue. The added risk is that the main source of the world's oil becomes embroiled in this conflict, and that global oil prices spike significantly, shocking the global economy and causing a global recession.",Withdrawing from Iraq would cause a global recession., 1, 1,, 1,, -1, -1,, -1,
test_1043#T5smooth+topic+is_best_beam_prediction,Withdrawing from Iraq,"If chaos ensues in Iraq, the risk is not simply that a civil war, genocide, and perhaps a regional conflict ensue. The added risk is that the main source of the world's oil becomes embroiled in this conflict, and that global oil prices spike significantly, shocking the global economy and causing a global recession.",Withdrawing from Iraq would risk global oil prices, 1, 1,, 1,, 1, -1,, -1,
test_1043#T5smooth+topic_best_beam_prediction,Withdrawing from Iraq,"If chaos ensues in Iraq, the risk is not simply that a civil war, genocide, and perhaps a regional conflict ensue. The added risk is that the main source of the world's oil becomes embroiled in this conflict, and that global oil prices spike significantly, shocking the global economy and causing a global recession.",Iraq could become a major oil source., -1, -1,, -1,, -1, 1,, 1,
test_1043#T5_best_beam_prediction,Withdrawing from Iraq,"If chaos ensues in Iraq, the risk is not simply that a civil war, genocide, and perhaps a regional conflict ensue. The added risk is that the main source of the world's oil becomes embroiled in this conflict, and that global oil prices spike significantly, shocking the global economy and causing a global recession.",Conflict in Iraq would raise oil prices globally, 1, 1,, 1,, 1, 1,, -1,
test_1043#T5_ground_truth,Withdrawing from Iraq,"If chaos ensues in Iraq, the risk is not simply that a civil war, genocide, and perhaps a regional conflict ensue. The added risk is that the main source of the world's oil becomes embroiled in this conflict, and that global oil prices spike significantly, shocking the global economy and causing a global recession.",A premature US withdrawal would jeopardize world oil supplies, 1, 1,, 1,, 1, 1,, 1,
test_1043#_random_conclusion,Withdrawing from Iraq,"If chaos ensues in Iraq, the risk is not simply that a civil war, genocide, and perhaps a regional conflict ensue. The added risk is that the main source of the world's oil becomes embroiled in this conflict, and that global oil prices spike significantly, shocking the global economy and causing a global recession.",Costs of wind energy compared to natural gas and electricity, -1, -1,, -1,, -1, 1,, 1,
test_1068#T5cherryfsmooth+topic+specific+inf_selected_prediction,Withdrawing from Iraq,"Withdrawal would make it easier for an over-stretched America to focus on a broader anti-terrorism strategy, aimed at building democracies and promoting human rights in the Middle East and elsewhere. Getting all the CIA's Arabic speakers back from Baghdad's Green Zone would also allow restructured US intelligence agencies to concentrate on preventing future terrorist attacks.",Withdrawing from Iraq would allow US intelligence to focus on terrorism., 1,, -1,, 1, 1,, 0,, -1
test_1068#T5cherrysmooth+topic+specific+generic_selected_prediction,Withdrawing from Iraq,"Withdrawal would make it easier for an over-stretched America to focus on a broader anti-terrorism strategy, aimed at building democracies and promoting human rights in the Middle East and elsewhere. Getting all the CIA's Arabic speakers back from Baghdad's Green Zone would also allow restructured US intelligence agencies to concentrate on preventing future terrorist attacks.",Withdrawing from Iraq would allow US to focus on counter-terrorism, 1,, 1,, 1, 1,, 0,, 1
test_1068#T5cherrysmooth+topic+specific+inf_selected_prediction,Withdrawing from Iraq,"Withdrawal would make it easier for an over-stretched America to focus on a broader anti-terrorism strategy, aimed at building democracies and promoting human rights in the Middle East and elsewhere. Getting all the CIA's Arabic speakers back from Baghdad's Green Zone would also allow restructured US intelligence agencies to concentrate on preventing future terrorist attacks.",Withdrawing from Iraq would allow US to focus on anti-terrorism, 1,, 1,, 1, 1,, -1,, -1
test_1068#T5cherrysmooth+topic_selected_prediction,Withdrawing from Iraq,"Withdrawal would make it easier for an over-stretched America to focus on a broader anti-terrorism strategy, aimed at building democracies and promoting human rights in the Middle East and elsewhere. Getting all the CIA's Arabic speakers back from Baghdad's Green Zone would also allow restructured US intelligence agencies to concentrate on preventing future terrorist attacks.",Withdrawing from Iraq would allow US to focus on anti-terrorism., 1,, 1,, 1, 1,, -1,, -1
test_1068#T5smooth+topic+specific+generic_best_beam_prediction,Withdrawing from Iraq,"Withdrawal would make it easier for an over-stretched America to focus on a broader anti-terrorism strategy, aimed at building democracies and promoting human rights in the Middle East and elsewhere. Getting all the CIA's Arabic speakers back from Baghdad's Green Zone would also allow restructured US intelligence agencies to concentrate on preventing future terrorist attacks.",Withdrawing from Iraq would allow for anti-terrorism efforts, 1,, 1,, 1, 1,, -1,, 1
test_1068#T5smooth+topic_best_beam_prediction,Withdrawing from Iraq,"Withdrawal would make it easier for an over-stretched America to focus on a broader anti-terrorism strategy, aimed at building democracies and promoting human rights in the Middle East and elsewhere. Getting all the CIA's Arabic speakers back from Baghdad's Green Zone would also allow restructured US intelligence agencies to concentrate on preventing future terrorist attacks.",Withdrawing from Iraq would allow US to focus on terrorism, -1,, -1,, 1, -1,, -1,, -1
test_1072#T5cherryfsmooth+topic+specific+generic_selected_prediction,Withdrawing from Iraq,"Critics of a withdrawal often argue that it would embolden terrorists. While this may be true, this completely ignores the fact that the war itself emboldened terrorists more than anything else. It continues to embolden them with a cause. While withdrawing may be a ""success"" for terrorists, and embolden them in this way, it will take away their cause of ""expelling the crusader"", which is the foundation of their support across the Muslim world.",Withdrawing from Iraq would embolden terrorists, 1,, 1,, -1, -1,, -1,, 1
test_1072#T5cherryfsmooth+topic+specific+inf_selected_prediction,Withdrawing from Iraq,"Critics of a withdrawal often argue that it would embolden terrorists. While this may be true, this completely ignores the fact that the war itself emboldened terrorists more than anything else. It continues to embolden them with a cause. While withdrawing may be a ""success"" for terrorists, and embolden them in this way, it will take away their cause of ""expelling the crusader"", which is the foundation of their support across the Muslim world.",Withdrawing from Iraq would embolden terrorists., 1,, 1,, 1, -1,, -1,, -1
test_1072#T5cherrysmooth+topic_selected_prediction,Withdrawing from Iraq,"Critics of a withdrawal often argue that it would embolden terrorists. While this may be true, this completely ignores the fact that the war itself emboldened terrorists more than anything else. It continues to embolden them with a cause. While withdrawing may be a ""success"" for terrorists, and embolden them in this way, it will take away their cause of ""expelling the crusader"", which is the foundation of their support across the Muslim world.",Withdrawing from Iraq would embolden terrorists and their cause., -1,, 1,, -1, -1,, -1,, 1
test_1072#T5smooth+topic+specific+inf_best_beam_prediction,Withdrawing from Iraq,"Critics of a withdrawal often argue that it would embolden terrorists. While this may be true, this completely ignores the fact that the war itself emboldened terrorists more than anything else. It continues to embolden them with a cause. While withdrawing may be a ""success"" for terrorists, and embolden them in this way, it will take away their cause of ""expelling the crusader"", which is the foundation of their support across the Muslim world.",Withdrawing from Iraq will not embolden terrorists, -1,, 1,, -1, -1,, -1,, 1
